"vaccine","dose","geography_type","geography","year_season","dimension_type","dimension","coverage_estimate","X_95_ci","population_sample_size"
"≥1 Dose MenACWY","","States/Local Areas","Iowa","2023","Age","13-17 Years",92.2,"86.5 to 95.6","248"
"≥1 Dose MenACWY","","States/Local Areas","Louisiana","2023","Age","13-17 Years",89.5,"83.7 to 93.4","329"
"≥1 Dose MenACWY","","States/Local Areas","Idaho","2023","Age","13-17 Years",86.1,"79.6 to 90.7","275"
"≥1 Dose MenACWY","","States/Local Areas","Washington","2023","Age","13-17 Years",86.3,"80.0 to 90.9","236"
"≥1 Dose MenACWY","","States/Local Areas","Pennsylvania","2023","Age","13-17 Years",92.1,"87.2 to 95.3","786"
"≥1 Dose MenACWY","","States/Local Areas","Florida","2023","Age","13-17 Years",80.8,"73.4 to 86.5","283"
"≥1 Dose MenACWY","","States/Local Areas","Maryland","2023","Age","13-17 Years",92.6,"88.4 to 95.4","476"
"≥1 Dose MenACWY","","States/Local Areas","New Jersey","2023","Age","13-17 Years",93.8,"89.8 to 96.3","334"
"≥1 Dose MenACWY","","States/Local Areas","District of Columbia","2023","Age","13-17 Years",88.1,"81.9 to 92.4","301"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2023","Age","13-17 Years",93.1,"88.0 to 96.1","262"
"≥1 Dose MenACWY","","States/Local Areas","New Mexico","2023","Age","13-17 Years",92.8,"88.2 to 95.8","271"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2023","Age","13-17 Years",89.8,"85.6 to 92.8","426"
"≥1 Dose MenACWY","","States/Local Areas","West Virginia","2023","Age","13-17 Years",91.8,"87.7 to 94.7","298"
"≥1 Dose MenACWY","","States/Local Areas","Colorado","2023","Age","13-17 Years",89.9,"85.6 to 93.0","332"
"≥1 Dose MenACWY","","States/Local Areas","Arizona","2023","Age","13-17 Years",89.4,"84.2 to 93.1","303"
"≥1 Dose MenACWY","","States/Local Areas","Alaska","2023","Age","13-17 Years",74.9,"67.4 to 81.1","249"
"≥1 Dose MenACWY","","States/Local Areas","South Carolina","2023","Age","13-17 Years",86.2,"80.9 to 90.2","306"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2023","Age","13-17 Years",91.7,"86.3 to 95.1","333"
"≥1 Dose MenACWY","","States/Local Areas","Massachusetts","2023","Age","13-17 Years",94,"89.3 to 96.7","330"
"≥1 Dose MenACWY","","States/Local Areas","Montana","2023","Age","13-17 Years",80,"74.4 to 84.7","345"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2023","Age","13-17 Years",92.8,"90.3 to 94.7","664"
"≥1 Dose MenACWY","","States/Local Areas","Indiana","2023","Age","13-17 Years",95.4,"91.7 to 97.5","298"
"≥1 Dose MenACWY","","States/Local Areas","Ohio","2023","Age","13-17 Years",88.9,"83.0 to 92.9","280"
"≥1 Dose MenACWY","","States/Local Areas","Vermont","2023","Age","13-17 Years",88,"81.1 to 92.6","223"
"≥1 Dose MenACWY","","States/Local Areas","Utah","2023","Age","13-17 Years",91.5,"84.9 to 95.3","214"
